date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:13	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Apr%202022%2012:19:14%20GMT	https://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_114x114.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_114x114062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Apr%202022%2012:19:14%20GMT	http://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_120x120.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_120x120062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:14	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Apr%202022%2012:19:14%20GMT	https://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_120x120.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_120x120062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Apr%202022%2012:19:14%20GMT	http://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_144x144.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_144x144062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:14	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Apr%202022%2012:19:15%20GMT	https://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_144x144.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_144x144062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Apr%202022%2012:19:15%20GMT	http://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_152x152.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_152x152062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:15	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Apr%202022%2012:19:15%20GMT	https://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_152x152.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/icon-for-mobile_152x152062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Apr%202022%2012:19:15%20GMT	http://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/logo.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/logo062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:15	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Apr%202022%2012:19:16%20GMT	https://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/logo.png?1077	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/logo062d.png	(from https://foodry-store-demo.myshopify.com/)
14:19:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Apr%202022%2012:19:16%20GMT	http://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/timber.scss.css?v=2103579987033386020	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/timber.scss557f.css	(from https://foodry-store-demo.myshopify.com/)
14:19:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Apr%202022%2012:19:17%20GMT	http://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/bootstrap.min.css?v=12128791072025208527	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/bootstrap.min0d61.css	(from https://foodry-store-demo.myshopify.com/)
14:19:16	88111/88111	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2012:19:17%20GMT	https://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/timber.scss.css?v=2103579987033386020	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/timber.scss557f.css	(from https://foodry-store-demo.myshopify.com/)
14:19:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Apr%202022%2012:19:17%20GMT	http://cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/slick.css?v=9834047404617688405	C:/Users/Abdelaziz/Desktop/PowerboardV2/test/back/cdn.shopify.com/s/files/1/0414/0069/6999/t/2/assets/slick97ee.css	(from https://foodry-store-demo.myshopify.com/)
